Name,Position,Country,DOB,Team
Billy Garton,Centre-Back,England,"Mar 15, 1965",First Team/Youth Teams
Charlie Moore,Right-Back,England,"Jun 3, 1893",First Team
Sam Murray,Left-Back,England,"Sep 25, 2004",Reserves Team/Youth Teams
Lal Hilditch,Left Winger,England,"Jun 2, 1894",First Team
Ian Storey-Moore,Left Winger,England,"Jan 17, 1945",First Team
Finley McAllister,Defensive Midfield,England,"Jul 16, 2006",Reserves Team/Youth Teams
Arthur Graham,Left Winger,Scotland,"Oct 26, 1952",First Team
Jaydan Kamason,Right-Back,England,"Dec 8, 2006",First Team/Reserves Team/Youth Teams
Jacob Devaney,Defensive Midfield,Ireland,"Jun 11, 2007",Reserves Team/Youth Teams
Nobby Lawton,Central Midfield,England,"Mar 25, 1940",First Team/Youth Teams
Gabriele Biancheri,Centre-Forward,Wales,"Sep 18, 2006",Reserves Team/Youth Teams
Billy Meredith,Right Winger,Wales,"Jul 30, 1874",First Team
Phil Chisnall,Second Striker,England,"Oct 27, 1942",First Team/Youth Teams
Billy Redman,Defender,England,"Jan 29, 1928",First Team
Ethan Williams,Left Winger,England,"Nov 14, 2005",Reserves Team/Youth Teams
Jim Thwaites,Central Midfield,England,"Dec 20, 2007",Reserves Team/Youth Teams
John Anderson,Striker,England,"Oct 11, 1921",First Team
Reece Munro,Centre-Back,England,"Dec 16, 2006",Reserves Team/Youth Teams
George Wall,Striker,England,"Feb 20, 1885",First Team
Mick Martin,Central Midfield,Ireland,"Jul 9, 1951",First Team
Charlie Wellens,Central Midfield,England,"Dec 5, 2002",Reserves Team/Youth Teams
Zach Baumann,Central Midfield,Ukraine,"Jan 2, 2007",Reserves Team/Youth Teams
Bobby Noble,Left-Back,England,"Dec 18, 1945",First Team/Youth Teams
Jimmy Hanson,Centre-Forward,England,"Nov 6, 1904",First Team
Shea Lacey,Right Winger,England,"Apr 14, 2007",Youth Teams
Sam Mather,Left Winger,England,"Sep 3, 2004",Reserves Team/Youth Teams
Amir Ibragimov,Left Winger,Russia,"Apr 2, 2008",Reserves Team/Youth Teams
Daniel Armer,Centre-Back,Scotland,"Oct 22, 2007",Reserves Team/Youth Teams
Tommy Bogan,Centre-Forward,Scotland,"May 18, 1920",First Team
Callum Whelan,Defensive Midfield,England,"Sep 24, 1998",Reserves Team/Youth Teams
Jack Kingdon,Centre-Back,Scotland,"Nov 16, 2005",Reserves Team/Youth Teams
Harry Rowley,Second Striker,England,"Jan 23, 1904",First Team
Jack Wilson,Midfielder,England,"Mar 8, 1897",First Team
Ronnie Burke,Centre-Forward,England,"Aug 13, 1921",First Team
Chris McGrath,Right Winger,Northern Ireland,"Nov 22, 1954",First Team
George Stacey,Left-Back,England,"Apr 1, 1881",First Team
Scott McGarvey,Centre-Forward,Scotland,"Apr 22, 1963",First Team/Youth Teams
Frank Mann,Defensive Midfield,England,"Mar 17, 1891",First Team
John Doherty,Second Striker,England,"Mar 12, 1935",First Team/Youth Teams
Adam Berry,Left Winger,England,"Jan 9, 2006",Reserves Team/Youth Teams
Charlie Roberts,Midfielder,England,"Apr 6, 1883",First Team
Dick Duckworth,Right Midfield,England,"Sep 14, 1882",First Team
Sandy Turnbull,Striker,Scotland,"Jul 30, 1884",First Team
Ralph Milne,Left Midfield,Scotland,"May 13, 1961",First Team
Jake Kenyon,Left-Back,England,"Jan 2, 1999",Reserves Team/Youth Teams
Jack Griffiths,Left-Back,England,"Sep 15, 1909",First Team
George Vose,Midfielder,England,"Oct 4, 1912",First Team
Bendito Mantato,Right Winger,England,"Jan 25, 2008",First Team/Reserves Team/Youth Teams
Alex Bell,Midfielder,Scotland,"Oct 20, 1881",First Team
Tommy Reid,Centre-Forward,Scotland,"Aug 15, 1905",First Team
Ernie Taylor,Second Striker,England,"Sep 2, 1925",First Team
Iestyn Hughes,Right-Back,Wales,"Oct 31, 2002",Reserves Team/Youth Teams
Logan Pye,Left-Back,England,"Oct 26, 2003",Reserves Team/Youth Teams
Tyler Fletcher,Central Midfield,Scotland,"Mar 19, 2007",Reserves Team/Youth Teams
James Bailey,Attacking Midfield,England,"Dec 29, 2007",Reserves Team/Youth Teams
Ashton Missin,Left Winger,England,"Aug 15, 2006",Reserves Team/Youth Teams
Joe Walton,Left-Back,England,"Jun 5, 1925",First Team/Youth Teams
John Ball,Right-Back,England,"Mar 13, 1925",First Team
Nikola Jovanovic,Centre-Back,Montenegro,"Sep 18, 1952",First Team
Harry Thomas,Striker,Wales,"Feb 28, 1901",First Team
Tom Myles,Goalkeeper,England,"Nov 17, 2005",Reserves Team/Youth Teams
Enoch West,Centre-Forward,England,"Mar 31, 1886",First Team
Ted Buckle,Right Winger,England,"Oct 28, 1924",First Team
Eddie Lewis,Left-Back,England,"Jan 3, 1935",First Team/Youth Teams
George McLachlan,Left Winger,Scotland,"Sep 21, 1901",First Team
Ernie Bond,Left Winger,England,"May 4, 1929",First Team
Dante Plunkett,Left-Back,England,"Oct 9, 2007",Youth Teams
Albert Mills,Centre-Back,England,"Feb 28, 2008",Reserves Team/Youth Teams
Trevor Anderson,Left Winger,Northern Ireland,"Mar 3, 1951",First Team
Tommy Jackson,Central Midfield,Northern Ireland,"Nov 3, 1946",First Team
Ethan Ennis,Right Winger,England,"Dec 11, 2004",Reserves Team/Youth Teams
Jack Grimwood,Midfielder,England,"Oct 25, 1898",First Team
Billy Dale,Left-Back,England,"Feb 17, 1905",First Team/Reserves Team
Graham Moore,Central Midfield,Wales,"Mar 7, 1941",First Team
Ted MacDougall,Centre-Forward,Scotland,"Jan 8, 1947",First Team
Hubert Redwood,Right-Back,England,"Jun 13, 1913",First Team
Harry Moger,Goalkeeper,England,"Sep 1, 1878",First Team
Kenny Morgans,Right Winger,Wales,"Mar 16, 1939",First Team/Youth Teams
Ruben Curley,Central Midfield,England,"Sep 5, 2005",Reserves Team/Youth Teams
Teddy Partridge,Left Winger,England,"Feb 13, 1891",First Team
Charlie Spencer,Defensive Midfield,England,"Dec 4, 1899",First Team
Wyn Davies,Centre-Forward,Wales,"Mar 20, 1942",First Team
Willie Bryant,Right Winger,England,"Nov 26, 1913",First Team
Tom Manley,Left Winger,England,"Oct 7, 1912",First Team
Samuel Lusale,Right Winger,Slovakia,"Sep 7, 2007",Youth Teams
Frank Clempson,Second Striker,England,"May 27, 1930",First Team/Reserves Team
Sammy McMillan,Left Winger,Northern Ireland,"Sep 20, 1941",First Team/Youth Teams
Will Murdock,Goalkeeper,Northern Ireland,"May 26, 2007",First Team/Reserves Team/Youth Teams
Harold Halse,Striker,England,"Jan 1, 1886",First Team
Jake Barrett,Centre-Back,England,"Oct 16, 1999",Reserves Team/Youth Teams
John Wassall,Centre-Forward,England,"Feb 11, 1917",First Team
Tom Jones,Midfielder,Wales,"Dec 6, 1899",First Team
Frank McPherson,Centre-Forward,England,"May 14, 1901",First Team
Bobby Beale,Goalkeeper,England,"Jan 8, 1884",First Team
Cameron Byrne-Hughes,Goalkeeper,England,"Nov 2, 2007",Reserves Team/Youth Teams
Tom Wooster,Goalkeeper,England,"Mar 30, 2005",Reserves Team/Youth Teams
Sammy Lynn,Central Midfield,England,"Dec 25, 1920",First Team/Youth Teams
Tommy Lowrie,Central Midfield,Scotland,"Jan 14, 1928",First Team
Stan Crowther,Central Midfield,England,"Sep 3, 1935",First Team
George Roughton,Defender,England,"May 11, 1909",First Team
Bill McKay,Midfielder,Scotland,"Aug 24, 1906",First Team
Jack Mew,Goalkeeper,England,"Nov 30, 1889",First Team
Malachi Sharpe,Right Winger,Scotland,"Nov 20, 2005",Reserves Team/Youth Teams
Sonny Feehan,Goalkeeper,Ireland,"Sep 17, 1926",First Team
Geoff Bent,Right-Back,England,"Sep 27, 1932",First Team/Youth Teams
Arthur Whalley,Midfielder,England,"Feb 17, 1886",First Team
Brian Birch,Second Striker,England,"Nov 18, 1931",First Team/Youth Teams
Willie Watson,Right-Back,Scotland,"Dec 4, 1949",First Team
Jim McCalliog,Midfielder,Scotland,"Sep 23, 1946",First Team
Tom Sloan,Central Midfield,Northern Ireland,"Jul 10, 1959",First Team
George Anderson,Centre-Forward,England,"May 25, 1891",First Team
Mickey Hamill,Midfielder,Ireland,"Jan 19, 1890",First Team
Ronnie Briggs,Goalkeeper,Northern Ireland,"Mar 29, 1943",First Team/Youth Teams
Frank Kopel,Left-Back,Scotland,"Mar 28, 1949",First Team/Youth Teams
Tony Gill,Defensive Midfield,England,"Mar 6, 1968",First Team/Reserves Team
Jack Breedon,Goalkeeper,England,"Dec 29, 1907",First Team
Billy Wrigglesworth,Right Winger,England,-,First Team
Hugh McLenahan,Midfielder,England,"Mar 23, 1909",First Team
Bobby Harrop,Centre-Back,England,"Aug 25, 1936",First Team
Jack Mellor,Left-Back,England,"Jul 15, 1906",First Team
Billy Johnston,Centre-Forward,Scotland,"Jan 16, 1901",First Team
James Overy,Right-Back,Scotland,"Nov 9, 2007",Reserves Team/Youth Teams
Jimmy Turnbull,Striker,Scotland,"May 23, 1882",First Team
Jimmy Hodge,Midfielder,Scotland,"Jul 5, 1891",First Team
Tommy Breen,Goalkeeper,Ireland,"Apr 27, 1912",First Team
Jack Smith,Centre-Forward,England,"Feb 17, 1915",First Team
Cliff Birkett,Centre-Forward,England,"Sep 17, 1933",First Team/Youth Teams
Willie Anderson,Left Winger,England,"Jan 24, 1947",First Team/Youth Teams
Harry Spratt,Left-Back,England,"Jan 28, 2000",Reserves Team/Youth Teams
James Thompson,Goalkeeper,England,"Sep 19, 2000",Youth Teams
Eric Hanbury,Goalkeeper,England,"Oct 25, 2004",Youth Teams
Tom Smith,Second Striker,England,"Oct 18, 1900",First Team
Bill Rawlings,Midfielder,England,"Jan 3, 1896",First Team
Fred Hopkin,Left Winger,England,"Sep 23, 1895",First Team
Jeff Wealands,Goalkeeper,England,"Aug 26, 1951",First Team
Kayne Diedrick-Roberts,Centre-Forward,England,"Nov 4, 1998",Reserves Team/Youth Teams
George Gladwin,Midfielder,England,"Mar 28, 1907",First Team
Stanley Gallimore,Centre-Forward,England,"Apr 14, 1910",First Team
Frank Barson,Midfielder,England,"Apr 10, 1891",First Team
Charlie Rennox,Second Striker,Scotland,"Feb 25, 1897",First Team
Rees Williams,Striker,Wales,"Jan 31, 1900",First Team
Peter Fletcher,Centre-Forward,England,"Dec 2, 1953",First Team/Youth Teams
Clive Griffiths,Centre-Back,Wales,"Jan 22, 1955",First Team/Youth Teams
Garth Crooks,Centre-Forward,England,"Mar 10, 1958",First Team
Alan Davies,Right Winger,Wales,"Dec 5, 1961",First Team/Reserves Team
Giuliano Maiorana,Left Winger,England,"Apr 18, 1969",First Team
Bert Whalley,Midfielder,England,"Aug 6, 1913",First Team
Lance Richardson,Goalkeeper,England,"Apr 1, 1899",First Team
Frank Knowles,Defender,England,"May 1, 1891",First Team
Dick Holden,Defender,England,"Jun 12, 1885",First Team
Vince Hayes,Defender,England,"Mar 24, 1879",First Team
Cliff Collinson,Goalkeeper,England,"Mar 3, 1920",First Team
Jimmy Bannister,Right Midfield,England,"Sep 20, 1880",First Team
John Hodge,Right-Back,Scotland,-,First Team
Arthur Warburton,Right Winger,England,"Sep 10, 1909",First Team
Norman Tapken,Goalkeeper,England,"Feb 21, 1914",First Team
Frank Haydock,Defender,England,"Nov 29, 1940",First Team
Steve Paterson,Centre-Back,Scotland,"Apr 8, 1958",First Team
Mark Higgins,Centre-Back,England,"Sep 29, 1958",First Team
Faustin Makela,Right Winger,England,"Jun 1, 1999",Reserves Team/Youth Teams
Callum Gribbin,Attacking Midfield,England,"Dec 18, 1998",Reserves Team/Youth Teams
Theo Richardson,Goalkeeper,England,"Oct 6, 1998",Reserves Team/Youth Teams
Marcus Lawrence,Right-Back,England,"Jun 24, 2005",Reserves Team/Youth Teams
Samuel Hopkinson,Centre-Forward,England,"Feb 9, 1903",First Team
Billy Porter,Left-Back,England,"Jul 15, 1905",First Team
Joe Norton,Striker,England,"Jan 26, 1888",First Team
Harry Worrall,Defender,England,"Nov 19, 1918",First Team
Bill Fielding,Goalkeeper,England,"Jun 17, 1915",First Team
Jayden Ngwashi,Centre-Back,Italy,"Sep 21, 2008",Reserves Team/Youth Teams
Hugh Edmonds,Goalkeeper,Scotland,"Jan 1, 1887",First Team
Patrick O'Connell,Midfielder,Ireland,"Mar 8, 1887",First Team
George Mutch,Striker,Scotland,"Sep 21, 1912",First Team
George Buchan,Right Winger,Scotland,"May 2, 1950",First Team
James Brown,Midfielder,Scotland,"Jun 24, 1906",First Team
Jack Hall,Goalkeeper,England,"Oct 23, 1912",First Team
Chris Taylor,Striker,England,"Oct 18, 1899",First Team
Eric Sweeney,Striker,England,"Oct 3, 1905",First Team
Joe Myerscough,Striker,England,"Aug 8, 1893",First Team
Arthur Potts,Striker,England,"May 26, 1888",First Team
Oscar Linkson,Defender,England,"Mar 16, 1888",First Team
Tony Donnelly,Defender,England,-,First Team
Herbert Burgess,Centre-Back,England,"Feb 25, 1883",First Team
Jack Picken,Striker,Scotland,"Jan 1, 1880",First Team
Jackie Sheldon,Right Winger,England,"Feb 11, 1888",First Team
George Livingstone,Central Midfield,Scotland,"May 5, 1876",First Team
Tommy Boyle,Centre-Forward,England,"Feb 27, 1901",First Team
Harry Baird,Midfielder,Ireland,"Aug 17, 1913",First Team
Charlie Craven,Second Striker,England,"Dec 2, 1909",First Team
Laurie Cassidy,Second Striker,England,"Mar 10, 1923",First Team
Mike Pinner,Goalkeeper,England,"Feb 16, 1934",First Team
Ian Donald,Right-Back,Scotland,"Nov 28, 1951",First Team
Arnold Sidebottom,Centre-Back,England,"Apr 1, 1954",First Team
Paul Bielby,Left Winger,England,"Nov 24, 1956",First Team/Youth Teams
Jack Ball,Centre-Forward,England,"Sep 13, 1907",First Team
William Robertson,Midfielder,Scotland,"Apr 20, 1907",First Team
Arthur Lochhead,Centre-Forward,Scotland,"Dec 8, 1897",First Team
Richard Gibson,Striker,England,"Feb 1, 1889",First Team
Frank Hodges,Right Winger,England,"Jan 20, 1891",First Team
Sam Blott,Striker,England,"Jun 19, 1886",First Team
Alex Downie,Midfielder,Scotland,"Oct 8, 1876",First Team
Alec Menzies,Midfielder,Scotland,"Nov 25, 1882",First Team
Berry Brown,Goalkeeper,England,"Sep 6, 1927",First Team
Louie Bradbury,Centre-Forward,Wales,"Sep 16, 2008",Youth Teams
JJ Gabriel,Centre-Forward,England,"Oct 6, 2010",Youth Teams
Tom Nuttall,Centre-Forward,England,"Feb 1, 1889",First Team
Tommy Meehan,Midfielder,England,"Aug 1, 1896",First Team
Wilf Woodcock,Second Striker,England,"Feb 15, 1892",First Team
Neil McBain,Defensive Midfield,Scotland,"Nov 15, 1895",First Team
Billy Harrison,Striker,England,"Dec 27, 1886",First Team
Walter Winterbottom,Centre-Back,England,"Jan 31, 1913",First Team
Jackie Scott,Right Winger,Northern Ireland,"Dec 22, 1933",First Team/Youth Teams
Tommy Heron,Left-Back,Scotland,"Mar 31, 1936",First Team
John Connaughton,Goalkeeper,England,"Sep 23, 1949",First Team/Reserves Team/Youth Teams
Alan Foggon,Left Winger,England,"Feb 23, 1950",First Team
Colin Waldron,Centre-Back,England,"Jun 22, 1948",First Team
Nicky Wood,Striker,England,"Jan 6, 1966",First Team/Youth Teams
Sekou Kaba,Centre-Forward,England,"Mar 28, 2007",Youth Teams
Harrison Parker,Centre-Back,England,"Sep 22, 2006",Youth Teams
Jack Hacking,Goalkeeper,England,"Dec 22, 1897",First Team
Tommy Frame,Centre-Back,Scotland,"Sep 5, 1902",First Team
William Stewart,Left Winger,Scotland,"Apr 24, 1910",First Team
Arthur Chesters,Goalkeeper,England,"Feb 14, 1910",First Team
Bill Inglis,Right-Back,Scotland,"Mar 2, 1894",First Team
Jack Scott,Defender,Scotland,"Jan 1, 1890",First Team
Tommy Forster,Midfielder,England,"Apr 1, 1894",First Team
Joe Haywood,Midfielder,England,"Apr 1, 1893",First Team
Tommy Gipps,Midfielder,England,"Jan 6, 1888",First Team
George Travers,Striker,England,"Jul 19, 1887",First Team
Arthur Thomson,Striker,England,"Jul 1, 1903",First Team
Tommy Dougan,Striker,Scotland,"Nov 22, 1915",First Team
Thomas Parker,Centre-Back,England,"Nov 22, 1906",First Team
Fred Erentz,Left-Back,Scotland,"Jun 10, 1870",First Team
Bob Bonthron,Centre-Back,Scotland,"Jul 14, 1880",First Team
Leslie Hofton,Centre-Back,England,"Mar 3, 1888",First Team
Bill Hunter,Second Striker,England,"Jul 28, 1887",First Team
George Hunter,Central Midfield,England,"Jun 2, 1885",First Team
Cyril Barlow,Right-Back,England,"Jan 22, 1889",First Team
Edward Hudson,Right-Back,England,"Jan 1, 1887",First Team
Ezra Royals,Goalkeeper,England,"Jan 1, 1882",First Team
Tom Miller,Centre-Forward,Scotland,"Jun 30, 1890",First Team
Neil Dewar,Striker,Scotland,"Nov 11, 1908",First Team
Ernie Hine,Striker,England,"Apr 9, 1901",First Team
Roy John,Goalkeeper,Wales,"Jan 29, 1911",First Team
Jackie Cape,Right Winger,England,"Nov 16, 1911",First Team
Thomas Bamford,Centre-Forward,Wales,"Nov 2, 1905",First Team
Joe Lancaster,Goalkeeper,England,"Apr 28, 1926",First Team
John Walton,Second Striker,England,"Mar 21, 1928",First Team
Gordon Clayton,Goalkeeper,England,"Nov 3, 1936",First Team/Youth Teams
Ron Davies,Centre-Forward,Wales,"Feb 25, 1942",First Team
Peter Coyne,Striker,England,"Nov 13, 1958",First Team/Youth Teams
Tom Connell,Left-Back,Northern Ireland,"Nov 25, 1957",First Team
Derek Brazil,Right-Back,Ireland,"Dec 14, 1968",First Team/Reserves Team
Paul Wratten,Striker,England,"Nov 29, 1970",First Team/Reserves Team
Ed McIlvenny,Midfielder,United States,"Oct 21, 1924",First Team
Ron Ferrier,Centre-Forward,England,"Apr 26, 1914",First Team
Reg Chester,Centre-Forward,England,"Nov 21, 1904",First Team
John Moody,Goalkeeper,England,"Nov 1, 1904",First Team
Ernest Vincent,Defensive Midfield,England,"Oct 28, 1910",First Team
Bill Ridding,Centre-Forward,England,"Apr 4, 1911",First Team
Len Langford,Goalkeeper,England,"May 30, 1899",First Team
Les Olive,Goalkeeper,England,"Apr 27, 1928",First Team
Frank Williams,Midfielder,England,"Feb 4, 1908",First Team
Charlie Radford,Defender,England,"Mar 19, 1900",First Team
George Sapsford,Striker,England,"Mar 10, 1896",First Team
Frank Harris,Defender,England,"Dec 17, 1899",First Team
James Montgomery,Midfielder,England,"Oct 12, 1890",First Team
Walter Spratt,Defender,England,"Apr 14, 1889",First Team
Jimmy Pegg,Goalkeeper,England,"Jan 4, 1926",First Team
Joe Dale,Midfielder,England,"Jul 3, 1921",First Team
Jimmy Bullock,Striker,England,"Mar 25, 1902",First Team
Frank Barrett,Goalkeeper,Scotland,"Aug 2, 1872",First Team
Bob Donaldson,Striker,Scotland,"Aug 27, 1868",First Team
Joe Cassidy,Striker,Scotland,"Jul 30, 1872",First Team
William Bryant,Striker,England,"Jan 1, 1874",First Team
Caesar Jenkyns,Centre-Back,Wales,"Aug 24, 1866",First Team
Henry Boyd,Striker,Scotland,"Apr 29, 1869",First Team
Walter Cartwright,Midfielder,England,"Jan 1, 1871",First Team
James McNaught,Midfielder,Scotland,"Jun 8, 1870",First Team
Edward Ibrovic-Fletcher,Attacking Midfield,Serbia,"Sep 26, 2008",Youth Teams
Jariyah Shah,Central Midfield,England,"May 25, 2009",Youth Teams
Noah Ajayi,Left Winger,England,"Nov 23, 2008",Reserves Team/Youth Teams
Jock Peddie,Centre-Forward,Scotland,"Mar 3, 1877",First Team
Ted Dalton,Left-Back,England,"Apr 1, 1882",First Team/Reserves Team
Joe Curry,Central Midfield,England,"Jan 1, 1887",First Team
Thomas Homer,Centre-Forward,England,"Apr 1, 1886",First Team
Freddy Capper,Left Winger,England,"May 8, 1892",First Team
Arthur Hooper,Centre-Forward,England,"Dec 5, 1888",First Team
Tom Chorlton,Left-Back,England,"Apr 9, 1880",First Team
Elijah Round,Goalkeeper,England,"Jan 1, 1882",First Team
James Robinson,Left Winger,Northern Ireland,"Jan 8, 1899",First Team
Ron Haworth,Second Striker,England,"Mar 10, 1901",First Team
James Bain,Central Midfield,Scotland,"Feb 6, 1899",First Team
Tommy Jones,Right Winger,Wales,"Dec 6, 1909",First Team
Tommy Lang,Left Winger,Scotland,"Apr 3, 1906",First Team
Walter McMillen,Defender,Northern Ireland,"Nov 24, 1913",First Team
Ted Savage,Central Midfield,England,"Nov 30, 1911",First Team
Walter Whitehurst,Midfielder,England,"Jun 7, 1934",First Team
Tony Hawksworth,Goalkeeper,England,"Jan 15, 1938",First Team/Youth Teams
Peter Jones,Right-Back,England,"Nov 30, 1937",First Team/Youth Teams
Reg Hunter,Left Winger,Wales,"Oct 25, 1938",First Team
Dennis Walker,Defender,England,"Oct 26, 1944",First Team
Wilf Tranter,Centre-Back,England,"Mar 5, 1945",First Team/Youth Teams
Jonathon Clark,Midfielder,Wales,"Nov 12, 1958",First Team
Martyn Rogers,Right-Back,England,"Jan 26, 1960",First Team/Youth Teams
Mark Dempsey,Midfielder,England,"Jan 14, 1964",First Team/Youth Teams
Calen Gallagher-Allison,Centre-Back,England,"Oct 23, 2002",Youth Teams
Oliver Kilner,Centre-Back,England,"Mar 27, 2004",Youth Teams
Nehemiah Oriola,Left Winger,England,"Jun 11, 2007",Youth Teams
Siem Eyob-Abraha,Centre-Forward,Eritrea,"Mar 1, 2008",Youth Teams
Jim Brown,Striker,United States,"Dec 31, 1908",First Team
Mason Cotcher,Centre-Forward,England,"Sep 4, 2006",Youth Teams
Jacob Lara,Centre-Back,England,"Oct 1, 2004",Youth Teams
Robert Murray,Striker,Scotland,"Mar 27, 1915",First Team
Alf Ainsworth,Second Striker,England,"Jul 31, 1913",First Team
Herbert Heywood,Right Winger,England,"Jan 1, 1913",First Team
Robert Green,Centre-Forward,England,-,First Team
James McCrae,Defensive Midfield,Scotland,"Sep 2, 1894",First Team
Dick Gardner,Midfielder,England,"Dec 22, 1913",First Team
William Chalmers,Defender,Scotland,"Mar 5, 1907",First Team
Bill Owen,Left Winger,England,"Sep 17, 1906",First Team
Billy Boyd,Striker,Scotland,"Nov 27, 1905",First Team
James William Kelly,Midfielder,England,"May 2, 1957",First Team
Billy Chapman,Striker,England,"Sep 21, 1902",First Team
Tommy Harris,Striker,England,"Sep 18, 1905",First Team
Bill Henderson,Striker,Scotland,"Jan 1, 1898",First Team
Pat Kennedy,Defender,Ireland,"Oct 9, 1934",First Team
George Bissett,Striker,Scotland,"Jan 25, 1896",First Team
Sam Cookson,Right-Back,England,"Jan 1, 1896",First Team
Noel McFarlane,Midfielder,Ireland,"Dec 20, 1934",First Team
William Redman,Defender,England,"Jan 29, 1928",First Team
Alf Schofield,Striker,England,"Jul 10, 1876",First Team
Bill Berry,Striker,England,"Jul 1, 1882",First Team
Ernie Thompson,Striker,England,"Jun 21, 1909",First Team
Joe Ford,Striker,England,"May 7, 1886",First Team
Len Bradbury,Striker,England,"Jul 1, 1914",First Team
Harry Williams,Striker,England,"Jan 1, 1883",First Team
Harry Stafford,Defender,England,"Nov 29, 1869",First Team
Dick Smith,Striker,England,-,First Team
Billy Draycott,Midfielder,England,"Feb 15, 1869",First Team
Matt Gillespie,Striker,Scotland,"Dec 24, 1869",First Team
Charlie Ramsden,Striker,England,"Dec 12, 1902",First Team
Fred Heath,Goalkeeper,England,"Sep 25, 2007",Youth Teams
Rafe McCormack,Central Midfield,England,"Dec 14, 2008",Youth Teams
Neithan Barbosa,Right Winger,Portugal,"Dec 6, 2008",Youth Teams
Jay McEvoy,Defensive Midfield,Ireland,"Oct 16, 2008",Youth Teams
Joe Williams,Right-Back,Wales,"Sep 14, 2009",Youth Teams
Alfie Walker,Central Midfield,Wales,"Sep 3, 2009",Youth Teams
Douka Abdoulaye,Left Winger,Cameroon,"Sep 27, 2010",Youth Teams
Jacob Watson,Centre-Back,England,"May 16, 2009",Youth Teams
Harlem McLaughlin,Central Midfield,Scotland,"Oct 30, 2009",Youth Teams
Connor Thorley,Left-Back,Wales,"Sep 26, 2008",Youth Teams
Silva Mexes,Left Winger,Thailand,"Mar 15, 2010",Youth Teams
Darlington Osuchukwu,Goalkeeper,England,"Nov 18, 2009",Youth Teams
Joe Deighton,Centre-Back,Wales,"Nov 5, 2010",Youth Teams
Camron Mpofu,Centre-Forward,Scotland,-,Youth Teams
Robert Beckett,Goalkeeper,England,-,First Team
Jimmy Stanton,Centre-Back,England,"Nov 18, 1860",First Team
Edward Howles,Centre-Back,England,-,First Team
Aaron Longton,Centre-Back,England,-,First Team
Di Jones,Defender,Wales,"Feb 11, 1867",First Team
Heber Davies,Centre-Forward,Wales,-,First Team
John Mitchell,Defender,England,"Apr 1, 1861",First Team
John Earp,Right Midfield,England,"Jan 1, 1860",First Team
Tom Hay,Goalkeeper,England,"Jul 1, 1858",First Team
Joe Davies,Midfielder,Wales,"Jul 12, 1864",First Team
Tom Burke,Midfielder,Wales,"Dec 31, 1863",First Team
Edgar Wilson,Left Midfield,England,-,First Team
George Owen,Striker,Wales,"Apr 10, 1865",First Team
James Gotheridge,Left Winger,England,"Apr 24, 1863",First Team
Thomas Craig,Centre-Forward,England,-,First Team
Jack Powell,Defender,Wales,"Mar 25, 1860",First Team
Jack Owen,Left Midfield,Wales,"Apr 4, 1865",First Team
Jack Doughty,Centre-Forward,Wales,"Oct 1, 1865",First Team
Alf Farman,Right Winger,England,"Apr 25, 1869",First Team
John McCartney,Centre-Back,Scotland,"Jan 1, 1866",First Team
John Cunningham,Second Striker,Scotland,"Jan 1, 1868",First Team
Stockport Smith,Right Winger,England,"Jan 1, 1874",First Team
Fred Williams,Striker,England,"Jan 1, 1873",First Team
Herbert Rothwell,Defender,England,"Feb 28, 1877",First Team
John Sutcliffe,Goalkeeper,England,"Apr 14, 1868",First Team
Tommy Robertson,Left Winger,Scotland,"Oct 17, 1876",First Team
Frank Buckley,Defender,England,"Oct 3, 1882",First Team
Harold Hardman,Striker,England,"Apr 4, 1882",First Team
George Albinson,Central Midfield,England,"Feb 14, 1897",First Team/Reserves Team
Albert Pape,Centre-Forward,England,"Jul 13, 1897",First Team
Dick Duckworth,Defender,England,"Jun 6, 1906",First Team
Charlie Hannaford,Centre-Forward,England,"Jan 8, 1896",First Team
Louis Page,Left Winger,England,"Mar 27, 1899",First Team
David Byrne,Centre-Forward,Ireland,"Apr 28, 1905",First Team
George Nevin,Right-Back,England,"Dec 16, 1907",First Team
Billy Behan,Goalkeeper,Ireland,"Aug 8, 1911",First Team
Alec Gaskell,Centre-Forward,England,"Jul 30, 1932",First Team
Jackie Mooney,Centre-Forward,Ireland,"Jan 1, 1938",First Team
Bob Hardisty,Striker,England,"Dec 1, 1921",First Team
Albert Kinsley,Striker,England,"Sep 19, 1945",First Team
Ray Baartz,Striker,Australia,"Mar 6, 1947",First Team
Barney Daniels,Striker,England,"Nov 24, 1950",First Team/Youth Teams
Victor Hooks,Striker,Northern Ireland,"Jul 4, 1955",First Team/Youth Teams
Peter Abbott,Centre-Forward,England,"Oct 1, 1953",First Team/Youth Teams
Ray O'Brien,Left-Back,Ireland,"May 21, 1951",First Team
Oshor Williams,Right Winger,England,"Apr 21, 1958",First Team
Gary Micklewhite,Central Midfield,England,"Mar 21, 1961",First Team/Youth Teams
Mark Todd,Midfielder,Northern Ireland,"Dec 4, 1967",First Team/Youth Teams
Alan McLoughlin,Central Midfield,Ireland,"Apr 20, 1967",First Team
Joe Hanrahan,Central Midfield,Ireland,"Mar 21, 1964",First Team
Andy Comyn,Centre-Back,England,"Aug 2, 1968",First Team/Youth Teams
Andy Rammell,Striker,England,"Feb 10, 1967",First Team
John Sharples,Defender,England,"Jan 26, 1973",First Team/Youth Teams
